,city_name,Year,"Murders (per 100,000)","Rapes (per 100,000)","Robberies (per 100,000)","Assaults (per 100,000)","Burglaries (per 100,000)","Thefts (per 100,000)","Auto thefts (per 100,000)","Arson (per 100,000)",City-Data.com crime index
414,"Downey city, California",2018,4.4,12.4,163.3,143.9,387.5,1386.0,535.0,13.2,221.9
415,"Downey city, California",2019,3.6,26.7,134.4,148.7,306.2,1394.0,501.2,3.6,215.8
416,"Downey city, California",2020,1.8,20.7,96.3,152.2,219.7,1094.0,624.9,18.9,188.6
417,"El Cajon city, California",2007,4.4,23.0,201.5,312.2,639.6,2330.0,1359.0,15.3,396.7
418,"El Cajon city, California",2008,1.1,38.0,221.2,312.3,619.1,2066.0,953.1,17.3,363.6
419,"El Cajon city, California",2009,2.2,31.4,244.4,220.6,526.7,1689.0,605.6,18.4,299.8
420,"El Cajon city, California",2010,0.0,15.1,169.9,204.1,554.9,1687.0,538.8,12.1,253.3
421,"El Cajon city, California",2011,2.0,27.8,185.8,310.0,599.1,1434.0,419.3,13.9,276.8
422,"El Cajon city, California",2012,2.0,23.6,144.3,188.5,484.0,1499.0,386.8,14.7,228.5
423,"El Cajon city, California",2013,2.0,28.4,140.2,207.8,483.3,1740.0,452.9,16.7,249.9
424,"El Cajon city, California",2014,3.9,19.4,130.3,164.3,482.3,1398.0,309.2,7.8,209.7
425,"El Cajon city, California",2015,1.9,48.1,102.9,193.4,372.3,1459.0,349.2,14.4,224.3
426,"El Cajon city, California",2016,1.0,44.0,139.7,193.3,410.6,1516.0,414.4,26.8,240.3
427,"El Cajon city, California",2017,1.0,46.0,156.1,207.8,396.4,1438.0,396.4,11.5,244.0
428,"El Cajon city, California",2018,4.8,29.7,182.8,275.6,337.8,1478.0,356.0,17.2,254.5
429,"El Cajon city, California",2019,2.9,36.6,193.9,299.0,357.8,1269.0,346.2,14.5,256.6
430,"El Cajon city, California",2020,4.9,32.0,109.7,350.4,279.5,1168.0,344.5,39.8,232.1
431,"Elk Grove city, California",2007,1.4,16.7,111.5,236.1,688.6,1583.0,395.4,4.3,240.0
432,"Elk Grove city, California",2008,0.0,15.8,106.9,350.8,632.7,1692.0,250.4,8.6,246.9
433,"Elk Grove city, California",2009,2.8,10.7,108.1,310.9,611.1,1531.0,307.3,7.8,237.4
434,"Elk Grove city, California",2010,1.3,9.1,70.6,264.7,426.8,1443.0,224.2,9.8,189.6
435,"Elk Grove city, California",2011,1.9,11.6,63.3,261.0,428.9,1474.0,209.3,9.0,190.1
436,"Elk Grove city, California",2012,0.6,12.8,60.8,253.3,431.1,1539.0,135.6,16.6,183.0
437,"Elk Grove city, California",2013,0.0,3.7,61.5,226.2,338.0,1385.0,118.1,6.8,155.2
438,"Elk Grove city, California",2014,1.2,19.6,76.1,284.7,384.2,1373.0,128.3,3.1,190.0
439,"Elk Grove city, California",2015,0.6,19.9,63.2,269.0,354.4,1380.0,142.6,2.4,181.3
440,"Elk Grove city, California",2016,0.0,30.0,55.4,236.8,219.7,1037.0,123.1,2.9,154.7
441,"Elk Grove city, California",2017,1.7,22.6,57.4,242.7,212.0,966.3,122.2,3.5,150.6
442,"Elk Grove city, California",2018,0.6,22.9,53.2,160.3,183.8,1064.0,102.5,5.7,131.1
443,"Elk Grove city, California",2019,0.0,19.9,65.0,127.1,166.4,1201.0,114.0,5.7,129.6
444,"Elk Grove city, California",2020,0.6,28.2,51.9,143.8,181.6,1067.0,93.0,4.5,130.9
445,"El Monte city, California",2007,4.8,20.1,189.2,338.2,503.3,1122.0,637.8,17.7,281.3
446,"El Monte city, California",2008,9.8,26.0,215.4,399.0,513.6,1083.0,569.7,22.8,309.6
447,"El Monte city, California",2009,2.5,11.4,248.3,322.6,526.0,1149.0,620.0,7.4,285.5
448,"El Monte city, California",2010,2.6,23.8,233.5,268.8,534.9,1052.0,702.4,11.5,283.9
449,"El Monte city, California",2011,0.9,28.7,170.7,166.4,473.8,989.5,527.8,5.2,224.2
450,"El Monte city, California",2012,3.5,12.1,176.0,150.8,495.0,937.1,501.1,12.1,211.8
451,"El Monte city, California",2013,2.6,12.1,134.1,145.3,491.4,898.0,498.3,9.5,194.4
452,"El Monte city, California",2014,1.7,17.2,141.1,126.5,397.5,1005.0,501.6,4.3,193.0
453,"El Monte city, California",2015,6.8,17.9,121.8,194.2,392.8,844.3,579.3,24.7,211.0
454,"El Monte city, California",2016,2.6,26.4,142.3,210.5,575.2,969.7,586.3,19.6,237.0
455,"El Monte city, California",2017,4.3,37.0,157.5,189.4,591.4,1232.0,600.9,11.2,262.1
456,"El Monte city, California",2018,5.2,30.1,127.9,147.7,413.9,1078.0,432.8,17.2,209.0
457,"El Monte city, California",2019,1.7,29.4,108.8,122.6,299.6,903.0,340.2,14.7,168.4
458,"El Monte city, California",2020,7.8,34.6,105.5,153.0,293.9,847.1,393.3,18.2,191.4
459,"Escondido city, California",2007,3.0,21.0,209.8,258.6,605.6,1820.0,819.2,17.2,318.2
460,"Escondido city, California",2008,2.9,22.7,142.8,246.9,657.8,1762.0,643.9,19.8,284.3
461,"Escondido city, California",2009,2.9,30.6,181.2,243.0,566.8,1748.0,508.6,16.7,283.5
462,"Escondido city, California",2010,2.1,25.7,147.3,239.7,516.3,1709.0,576.7,13.2,267.5
463,"Escondido city, California",2011,2.1,19.2,121.6,197.1,382.5,1481.0,341.3,13.0,208.7
464,"Escondido city, California",2012,3.4,25.8,139.8,257.1,518.4,1605.0,514.3,9.5,262.4
465,"Escondido city, California",2013,4.0,26.2,135.2,235.5,482.3,1666.0,519.3,8.1,258.7
466,"Escondido city, California",2014,2.0,23.4,110.1,206.2,333.7,1331.0,355.0,8.7,202.0
467,"Escondido city, California",2015,4.6,31.6,116.0,196.4,315.7,1521.0,399.4,9.9,223.5
468,"Escondido city, California",2016,2.6,31.4,98.1,230.9,271.4,1447.0,430.4,7.8,217.3
469,"Escondido city, California",2017,2.0,33.4,113.8,227.7,279.4,1165.0,260.4,19.0,197.3
470,"Escondido city, California",2018,2.6,41.8,103.9,201.2,233.2,1235.0,318.8,7.8,201.3
471,"Escondido city, California",2019,2.6,33.3,93.3,220.6,247.4,1044.0,257.8,5.2,183.7
472,"Escondido city, California",2020,3.3,33.5,77.4,259.1,262.4,1223.0,283.4,15.1,198.3
473,"Fairfield city, California",2007,6.6,33.9,208.3,346.8,656.0,2816.0,629.6,28.3,381.1
474,"Fairfield city, California",2008,4.8,26.7,226.8,262.1,701.4,2576.0,559.4,26.7,348.2
475,"Fairfield city, California",2009,5.7,22.0,184.7,205.8,745.6,1988.0,373.3,21.1,287.2
476,"Fairfield city, California",2010,7.6,17.1,175.7,276.3,718.8,2059.0,445.3,16.1,305.1
477,"Fairfield city, California",2011,4.7,19.7,138.9,235.6,536.8,1929.0,325.6,12.2,254.7
478,"Fairfield city, California",2012,7.5,28.0,129.8,258.6,631.1,2002.0,464.0,13.1,289.4
479,"Fairfield city, California",2013,2.8,12.0,152.2,292.4,677.9,2001.0,580.1,18.4,293.2
480,"Fairfield city, California",2014,5.4,37.2,182.2,245.7,594.7,2341.0,575.7,9.1,325.7
481,"Fairfield city, California",2015,7.1,40.9,148.3,235.4,405.0,2137.0,503.6,26.6,292.6
482,"Fairfield city, California",2016,6.1,48.9,128.4,232.3,366.7,1649.0,468.9,17.5,265.4
483,"Fairfield city, California",2017,8.6,34.4,155.5,270.7,468.3,1868.0,458.0,27.5,289.6
484,"Fairfield city, California",2018,3.4,66.2,149.3,279.1,342.7,1951.0,488.6,24.6,301.5
485,"Fairfield city, California",2019,4.2,40.5,136.8,191.8,303.3,2348.0,543.2,19.4,278.9
486,"Fairfield city, California",2020,5.1,49.8,142.6,259.9,367.1,1620.0,535.9,28.7,278.1
487,"Fontana city, California",2007,4.5,24.4,165.4,313.3,530.3,1171.0,651.0,7.4,276.9
488,"Fontana city, California",2008,6.3,25.9,149.0,277.4,531.6,1183.0,647.8,13.2,269.9
489,"Fontana city, California",2009,3.2,24.2,157.1,266.9,557.0,1277.0,473.5,5.3,254.1
490,"Fontana city, California",2010,3.1,18.9,122.4,242.8,410.1,1086.0,381.0,6.6,209.1
491,"Fontana city, California",2011,2.5,19.7,121.5,219.3,524.8,1215.0,394.7,4.5,218.0
492,"Fontana city, California",2012,2.5,15.4,144.9,260.4,547.1,1189.0,500.8,6.0,238.8
493,"Fontana city, California",2013,4.9,16.2,99.3,236.0,428.7,1090.0,491.1,4.4,212.7
494,"Fontana city, California",2014,1.0,19.1,84.6,242.5,335.4,1071.0,407.3,6.4,190.0
495,"Fontana city, California",2015,1.4,22.2,102.9,261.9,369.1,1195.0,498.1,5.8,217.4
496,"Fontana city, California",2016,6.7,32.9,104.0,271.6,332.6,1217.0,548.4,8.1,241.1
497,"Fontana city, California",2017,4.2,29.3,97.3,206.3,265.8,1082.0,416.0,6.1,197.5
498,"Fontana city, California",2018,3.7,29.4,91.1,207.0,253.3,828.6,422.0,4.7,184.4
499,"Fontana city, California",2019,2.8,38.4,95.4,205.7,223.7,855.1,354.4,4.2,184.3
500,"Fontana city, California",2020,3.2,34.2,74.8,195.3,219.3,580.0,357.0,7.4,162.4
