Name,total_population,Median_age,Median_age_Male,Median_age_Female,White_alone,Black_or_African_American alone,Total:_American_Indian_and_Alaska_Native alone,Total:_Asian_alone,Hawaiian_and_Pacific,Other_race,Tenure_units,Owner occupied,Renter occupied,Median_household_income,Income_below_poverty_level:,Income_below_poverty_level_Family_households:,Income_below_poverty_level_Family_households_Married,Income_below_poverty_level_Nonfamily_households:,Income_above_poverty_level:,Income_at_or_above_poverty_level_Family households:,Income_at_or_above_poverty_level_Family_households_Married,Income_at_or_above_poverty_level_Nonfamily_households:,Employment_status,In_labor_force:,Civilian_employed,Civilian_unemployed,Armed_Forces,Not_in_labor_force,Educational_attainment,No_schooling_complete,Regular_high_school_diploma,_GED_or_alternative_credential,Some_college_less_than_1_year,Some_college_1_or_more_years_no_degree,Associates_degree,Bachelor's_degree,Master's_degree,Professional_school_degree,Household_type,Family_households:,Family_households:_Married-couple_family,male_housholder_no_spouse,female_housholder_no_spouse,Nonfamily_households:,Median_gross_rent,State,Place,Year
19,"Phoenix city, Arizona",1680988,34.4,33.9,34.9,1289208.0,122763.0,34465.0,67512.0,5668.0,96681.0,586878,319653,267225,60931,80175.0,45188.0,17729.0,34987.0,506703.0,331330.0,231998.0,175373.0,1307644,884120,845269,38851,1127,422397,1099238.0,26517.0,218527.0,46602.0,72442.0,169416.0,82574.0,199100.0,80485.0,22776.0,586878,376518,249727,41443,85348,210360,1107,4,55000,2019
20,"San Tan Valley CDP, Arizona",100732,34.0,34.2,33.9,82250.0,4771.0,5672.0,1198.0,0.0,3981.0,30387,24866,5521,75624,1576.0,1222.0,734.0,354.0,28811.0,23213.0,18955.0,5598.0,74345,47324,44989,2335,271,26750,62362.0,495.0,14642.0,5028.0,5883.0,11871.0,5748.0,11034.0,2605.0,449.0,30387,24435,19689,1372,3374,5952,1546,4,64210,2019
21,"Scottsdale city, Arizona",258064,50.1,48.3,51.9,228165.0,5238.0,3567.0,12995.0,249.0,1416.0,123791,83222,40569,86097,8064.0,2747.0,1076.0,5317.0,115727.0,63076.0,53203.0,52651.0,225750,141869,137779,4090,0,83881,204968.0,783.0,22426.0,2694.0,10740.0,23487.0,15368.0,72190.0,34583.0,10557.0,123791,65823,54279,2846,8698,57968,1471,4,65000,2019
22,"Surprise city, Arizona",141674,39.8,39.5,39.9,121534.0,8080.0,1349.0,3090.0,243.0,3934.0,49127,38555,10572,76405,3518.0,2103.0,585.0,1415.0,45609.0,35385.0,28774.0,10224.0,108464,58257,55755,2502,1066,49141,93866.0,499.0,20790.0,3256.0,9188.0,15720.0,9369.0,19801.0,7850.0,1459.0,49127,37488,29359,2075,6054,11639,1523,4,71510,2019
23,"Tempe city, Arizona",195816,30.0,29.7,30.2,144455.0,14782.0,3601.0,18138.0,204.0,8049.0,76669,30789,45880,66297,12335.0,2540.0,1286.0,9795.0,64334.0,33831.0,22558.0,30503.0,173914,119906,113292,6614,104,53904,125911.0,626.0,11116.0,2899.0,7358.0,25758.0,10001.0,37809.0,18634.0,2867.0,76669,36371,23844,5085,7442,40298,1237,4,73000,2019
24,"Tucson city, Arizona",548082,34.5,33.3,36.2,394079.0,28528.0,20580.0,17344.0,1733.0,50570.0,217993,107516,110477,44365,40007.0,16594.0,5380.0,23413.0,177986.0,98103.0,65106.0,79883.0,450072,274052,256810,17242,5926,170094,355457.0,4460.0,63869.0,18993.0,26673.0,66706.0,26811.0,59204.0,27865.0,3902.0,217993,114697,70486,13133,31078,103296,846,4,77000,2019
30,"Little Rock city, Arkansas",197318,37.4,34.9,40.1,102108.0,83562.0,767.0,6085.0,102.0,1727.0,80063,44754,35309,54878,10497.0,4279.0,1115.0,6218.0,69566.0,41298.0,28088.0,28268.0,156450,102373,98295,4078,255,53822,134842.0,1527.0,26222.0,3401.0,6745.0,22899.0,7266.0,31573.0,17134.0,5326.0,80063,45577,29203,3154,13220,34486,875,5,41000,2019
36,"Anaheim city, California",350351,35.2,34.4,36.4,228882.0,12032.0,2545.0,63812.0,2336.0,29529.0,105301,48570,56731,76075,11864.0,6961.0,3038.0,4903.0,93437.0,69980.0,49716.0,23457.0,281221,193564,186332,7232,575,87082,236324.0,8792.0,50659.0,5520.0,14360.0,36411.0,15649.0,39645.0,15071.0,4589.0,105301,76941,52754,7602,16585,28360,1733,6,2000,2019
37,"Antioch city, California",111506,38.8,39.6,38.0,40859.0,23551.0,563.0,18317.0,762.0,19182.0,36138,22917,13221,72412,5229.0,3234.0,872.0,1995.0,30909.0,21585.0,15694.0,9324.0,90801,57492,52096,5396,0,33309,77737.0,1873.0,20028.0,2107.0,5570.0,14153.0,8679.0,10053.0,5143.0,256.0,36138,24819,16566,1712,6541,11319,1789,6,2252,2019
39,"Arden-Arcade CDP, California",108227,36.6,36.1,37.3,64503.0,11352.0,422.0,6910.0,1653.0,9897.0,42309,17167,25142,54974,7040.0,3529.0,1671.0,3511.0,35269.0,21751.0,14979.0,13518.0,85828,52426,48500,3926,0,33402,74294.0,957.0,16559.0,1887.0,4911.0,10160.0,7440.0,15893.0,6226.0,2951.0,42309,25280,16650,2278,6352,17029,1181,6,2553,2019
